Filename,MinX,MinY,MinZ,MaxX,MaxY,MaxZ,Width,Height,Depth
Base Large.glb,-0.0426493547856808,4.14354908571113e-05,-0.0426493622362614,0.0426493585109711,0.0497539453208447,0.0426493585109711,0.0852987132966519,0.04971250982998759,0.08529872074723249
CAR Model.glb,-134.6428985595703,0.04039999842643738,-271.769287109375,95.55989837646484,117.59369659423828,217.67140197753906,230.20279693603516,117.55329659581184,489.44068908691406
clawbot_anim.glb,-0.4450007975101471,-1.0672290325164795,-0.8382703065872192,0.5162995457649231,0.8507673740386963,0.6799994111061096,0.9613003432750702,1.9179964065551758,1.5182697176933289
Geodesic Dome.glb,-0.0426493547856808,4.14354908571113e-05,-0.0426493622362614,0.0426493585109711,0.0528497770428658,0.0426493585109711,0.0852987132966519,0.05280834155200869,0.08529872074723249
House.glb,-0.0053933965973556,-0.00321225309744477,-6.12887743045576e-05,0.00350613356567919,0.00543238408863544,0.00766077032312751,0.00889953016303479,0.00864463718608021,0.0077220590974320675
Large Building.glb,-1.0199999809265137,-5.639932896936113e-18,-0.6200000047683716,1.0199999809265137,1.6799999475479126,0.6200000047683716,2.0399999618530273,1.6799999475479126,1.2400000095367432
Lever.glb,-0.00661130156368017,-0.000309783878037706,-0.00661130156368017,0.0131266862154007,0.0126616330817342,0.00661130249500275,0.019737987779080868,0.012971416959771906,0.01322260405868292
Light Switch.glb,-0.030414370819926262,-0.2230065017938614,-0.1443382054567337,0.05215105041861534,0.23699340224266052,0.14566190540790558,0.0825654212385416,0.4599999040365219,0.2900001108646393
Nature.glb,-2.412890911102295,-0.7792235016822815,-2.466697931289673,2.3865129947662354,0.9363433122634888,1.7775110006332397,4.79940390586853,1.7155668139457703,4.244208931922913
Police Car.glb,-0.8888130187988281,-0.01626100018620491,-1.8670380115509033,0.8888130187988281,1.2224889993667603,1.8634519577026367,1.7776260375976562,1.2387499995529652,3.73048996925354
Walk in the Woods.glb,-0.6871628165245056,-0.19039340317249298,-0.7310314178466797,0.7127841114997864,0.3906024992465973,0.7913293838500977,1.399946928024292,0.5809959024190903,1.5223608016967773
Wall Modular.glb,-0.00999808311462402,-0.00219036149792373,-0.0100208353251219,0.0100092953070998,0.00219036149792373,0.0100331045687199,0.020007378421723822,0.00438072299584746,0.0200539398938418
wind_chimes.glb,-6.204948902130127,-26.926725387573242,-7.562011241912842,17.65462875366211,10.225496292114258,442.20306396484375,23.859577655792236,37.1522216796875,449.7650752067566
Buildings\Barricade Window C.glb,-0.0999999940395355,-0.126106843352318,-0.627772808074951,0.0,1.2298276424408,0.627772808074951,0.0999999940395355,1.355934485793118,1.255545616149902
Buildings\Barricade-3UZHUnkzTu.glb,-0.0999999940395355,-0.565662384033203,-0.627772808074951,0.0,1.18153548240662,0.627772808074951,0.0999999940395355,1.7471978664398229,1.255545616149902
Buildings\Barricade-cNGRlrEJEe.glb,-0.0750000029802322,-0.414929956197739,-0.627898335456848,0.0,1.04525136947632,0.627898395061493,0.0750000029802322,1.4601813256740588,1.255796730518341
Buildings\Barricade-JSTjgVIyX8.glb,-0.0750000029802322,0.0117902643978596,-0.627772808074951,0.0,1.0952513217926,0.627772808074951,0.0750000029802322,1.0834610573947405,1.255545616149902
Buildings\Barricade-QaTdfgKDbK.glb,-0.0750000029802322,-0.488209754228592,-0.627772808074951,0.0,1.0952513217926,0.627772808074951,0.0750000029802322,1.583461076021192,1.255545616149902
Buildings\Barricade.glb,-0.0750000029802322,0.0850700438022614,-0.627898335456848,0.0,1.04525136947632,0.627898395061493,0.0750000029802322,0.9601813256740586,1.255796730518341
